,Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,,,
,68/99,12.1G,0.03707,0.00954,0,0.04661,70,640,0.7777,0.7662,0.8072,0.4211,0.07205,0.005062,0
,69/99,12.1G,0.03899,0.009521,0,0.04851,43,640,0.8342,0.7761,0.8273,0.4199,0.07341,0.00503,0
,70/99,12.1G,0.03877,0.00955,0,0.04832,58,640,0.8068,0.8105,0.846,0.4425,0.07295,0.004957,0
,71/99,12.1G,0.0364,0.009653,0,0.04605,49,640,0.7485,0.7861,0.8073,0.4212,0.07267,0.005083,0
,72/99,12.1G,0.03678,0.009294,0,0.04607,70,640,0.8475,0.7512,0.8425,0.4316,0.07302,0.005009,0
,73/99,12.1G,0.03808,0.009525,0,0.04761,66,640,0.8111,0.7711,0.8368,0.4385,0.07139,0.005111,0
,74/99,12.1G,0.03596,0.009323,0,0.04528,36,640,0.7876,0.7562,0.8058,0.4004,0.07341,0.00506,0
,75/99,12.1G,0.03712,0.00972,0,0.04684,35,640,0.8589,0.7875,0.8532,0.4314,0.07332,0.004962,0
,76/99,12.1G,0.03753,0.009495,0,0.04702,58,640,0.8033,0.8159,0.8436,0.4331,0.07185,0.005008,0
,77/99,12.1G,0.03528,0.009265,0,0.04455,52,640,0.8777,0.7853,0.8583,0.4477,0.07176,0.005016,0
,78/99,12.1G,0.03575,0.009571,0,0.04532,44,640,0.742,0.8157,0.8339,0.4421,0.0729,0.004932,0
,79/99,12.1G,0.03662,0.009441,0,0.04606,42,640,0.7448,0.7861,0.8212,0.4375,0.07128,0.005094,0
,80/99,12.1G,0.03834,0.009712,0,0.04806,58,640,0.7902,0.8259,0.8467,0.4342,0.07142,0.005094,0
,81/99,12.1G,0.03701,0.0091,0,0.04611,61,640,0.7835,0.8358,0.8467,0.4155,0.07066,0.005056,0
,82/99,12.1G,0.03541,0.009406,0,0.04482,51,640,0.8111,0.8545,0.8676,0.4427,0.0721,0.004978,0
,83/99,12.1G,0.03843,0.009608,0,0.04804,67,640,0.7794,0.791,0.8324,0.4257,0.07021,0.005132,0
